followers,followees,numberOfPosts,imagePorcentage,sidecarPorcentage,videoPorcentage,isBusiness,isProfessional,hasLink,hideLikes,avgLikes,varLikes,avgComments,varComments,avgScore,varScore,avgTechScore,varTechScore,avgPhotosInSidecar,varPhotosInSidecar,avgTaggedUsers,varTaggedUsers,avgHeight,varHeight,avgWidth,varWidth,useLocation,isAccesible,cLength,cSubjectivity,cPolarity,cDifficultWords,cSecondsToRead,cEntropy,captionLength,captionSubjectivity,captionPolarity,captionDifficultWords,captionSecondsToRead,captionEntropy,captionAvgHashtags,captionVarHashtags,Photographer
14170,7519,356,9.38,84.38,6.25,False,True,True,False,43.867,465.449,1.0,1.4,5.556,0.07,5.776,0.169,3,0.793,0.367,0.232,1198.833,52405.139,1080.0,52405.139,False,False,45.0,0,0,1.967,1.928,4.002,283.467,0,0,13.933,12.391,4.267,19.933,0.062,True
63,145,16,87.5,0.0,12.5,False,False,False,False,18.0,214.857,0.929,1.638,5.161,0.157,5.463,0.123,0,0,0.0,0.0,1305.214,8343.311,1080.0,8343.311,False,True,34.0,0,0,1.846,1.432,4.126,239.571,0,0,14.0,10.14,4.209,21.286,113.061,False
105,220,158,90.91,0.0,9.09,False,False,False,False,11.1,33.09,0.833,1.672,5.352,0.142,5.12,0.283,0,0,0.0,0.0,1181.167,44294.339,1080.0,44294.339,True,True,54.24,0,0,3.2,2.253,4.194,210.033,0,0,12.167,8.773,4.384,11.733,46.662,False
3099,1189,660,100.0,0.0,0.0,False,True,True,True,19.5,174.717,0.333,0.622,5.113,0.121,5.784,0.433,0,0,7.9,31.69,1123.4,83941.44,1080.0,83941.44,True,False,58.1,0,0,2.5,2.332,3.611,536.3,0,0,28.5,22.853,4.411,30.0,0.0,True
420,108,223,60.0,40.0,0.0,False,True,False,False,35.767,1000.779,0.833,1.539,4.983,0.095,5.225,0.234,3,1.306,0.0,0.0,958.067,52412.996,1080.0,52412.996,False,True,36.44,0,0,1.72,1.478,3.785,265.767,0,0,13.933,11.174,4.619,17.133,8.782,True
270,638,170,43.75,50.0,6.25,False,True,True,False,0,0,2.033,6.299,5.358,0.183,4.923,0.25,3,1.125,0.1,0.09,1074.433,91382.912,1080.0,91382.912,True,True,38.45,0,0,1.767,1.574,3.934,253.233,0,0,13.7,10.567,4.388,14.267,11.862,True
13775,268,230,70.0,30.0,0.0,False,True,False,True,0,0,6.367,14.432,5.168,0.186,5.1,0.274,4,6.173,0.0,0.0,1349.9,0.29,1080.0,0.29,True,True,32.691,0,0,1.712,1.4,3.872,262.6,0,0,14.067,11.155,4.38,15.3,34.143,True
11566,627,932,40.0,60.0,0.0,False,True,True,False,197.133,8095.116,2.633,6.632,5.25,0.335,4.935,0.191,4,2.062,6.1,3.557,1301.5,21299.917,1080.0,21299.917,False,True,35.291,1,0,1.608,1.447,3.589,567.4,0,0,30.9,23.668,4.541,28.6,1.44,True
2009,340,102,33.33,66.67,0.0,False,False,True,False,15.067,29.196,1.133,2.316,5.354,0.168,5.107,0.365,3,2.69,1.167,3.006,1146.967,75142.832,1080.0,75142.832,False,True,44.559,0,0,2.0,1.817,3.987,218.6,0,0,10.767,8.858,4.382,10.0,11.867,False
150,129,36,100.0,0.0,0.0,False,True,False,False,19.233,41.979,1.7,0.61,5.186,0.153,4.803,0.302,0,0,0.7,0.277,716.767,1777.046,1080.0,1777.046,True,True,127.408,0,0,7.327,5.462,4.037,23.214,0,0,0.857,0.931,3.419,0.036,0.034,True
182,100,270,96.67,3.33,0.0,False,False,False,False,41.233,64.979,0.3,0.743,5.114,0.111,4.84,0.255,5,0.0,0.0,0.0,1035.0,76545.0,1080.0,76545.0,True,True,56.556,0,0,1.556,2.364,4.045,464.367,0,1,16.467,18.534,4.495,17.9,2.223,False
26781,58,1781,90.32,6.45,3.23,True,True,True,False,730.6,53406.507,2.3,3.143,5.167,0.124,4.791,0.244,2,0.0,0.0,0.0,1265.1,42775.89,1065.333,42775.89,True,True,54.194,0,0,2.328,2.265,4.037,911.0,0,1,26.5,36.712,4.757,15.433,31.046,False
109,4,43,43.75,50.0,6.25,False,True,False,False,21.8,575.293,1.467,6.249,5.563,0.107,5.359,0.412,4,3.09,5.467,35.716,1034.333,72675.689,1080.0,72675.689,True,False,30.419,0,0,1.884,1.302,3.899,121.133,0,0,7.0,5.061,4.229,5.433,59.646,True
5649,1827,635,83.33,16.67,0.0,False,True,True,True,120.767,3813.912,5.933,41.596,5.76,0.175,5.033,0.338,4,3.6,3.1,6.49,1215.0,18225.0,1080.0,18225.0,True,True,47.871,0,0,2.135,1.978,3.706,70.067,0,0,2.2,2.771,3.903,0.0,0.0,True
12650,1288,505,13.89,69.44,16.67,False,True,False,False,0,0,1.2,3.36,5.123,0.118,5.204,0.193,7,5.29,1.633,2.032,1265.567,45833.446,1080.0,45833.446,True,True,33.833,0,0,1.639,1.421,3.873,519.133,0,0,22.333,22.038,4.652,23.267,137.929,True
764,802,284,96.67,3.33,0.0,False,True,True,False,43.467,1739.916,0.967,2.699,5.274,0.151,5.052,0.215,10,0.0,0.667,0.889,756.9,14361.623,1080.0,14361.623,True,True,48.552,0,0,2.138,2.023,3.992,288.267,0,0,9.167,11.815,4.37,24.9,21.157,False
2029,1736,194,86.67,13.33,0.0,False,True,True,False,1314.167,219560.206,95.933,1722.862,5.476,0.186,5.148,0.146,3,0.688,0.0,0.0,820.867,24334.049,1080.0,24334.049,True,True,34.786,0,0,1.996,1.464,4.026,575.233,0,0,29.6,24.603,4.41,29.667,1.089,True
4623,2894,171,51.61,45.16,3.23,False,True,True,False,154.158,13174.87,3.233,17.112,5.483,0.259,5.0,0.406,4,4.429,0.167,0.339,875.967,33885.299,1003.0,33885.299,False,True,43.082,0,0,1.907,1.79,3.701,323.5,0,0,13.067,12.916,4.255,3.433,6.846,True
1112,1454,3199,40.74,14.81,44.44,False,False,False,False,20.5,68.917,0.133,0.316,5.113,0.143,5.056,0.241,3,1.859,0.0,0.0,810.3,22464.81,1080.0,22464.81,False,False,110.25,1,0,3.0,4.83,4.573,184.733,0,0,7.133,7.51,4.575,5.933,8.062,False
62,40,46,50.0,50.0,0.0,False,False,False,True,11.467,15.182,0.767,1.379,5.063,0.089,5.068,0.384,3,0.64,0.033,0.032,976.3,93414.877,1080.0,93414.877,True,True,37.783,0,0,1.913,1.536,3.919,239.4,0,0,8.2,9.481,4.273,11.867,5.582,False
918,991,549,100.0,0.0,0.0,False,False,False,False,57.533,378.782,1.533,2.782,5.287,0.094,5.342,0.342,0,0,0.0,0.0,1065.067,10799.062,1080.0,10799.062,False,True,30.174,0,0,1.457,1.258,3.911,165.533,0,0,6.267,7.065,4.27,9.633,5.566,False
4678,713,596,83.33,16.67,0.0,True,True,True,False,62.533,657.382,4.267,7.462,5.356,0.144,5.311,0.353,6,5.84,19.1,3.757,1017.333,65794.289,1039.667,65794.289,True,True,127.707,0,0,8.146,5.888,3.921,813.867,1,1,42.5,32.631,4.487,0.0,0.0,False
